210000004,3
210000008,3
210000012,3
210000020,3
210000024,3
210000028,3
210000032,3
210000036,3
210000040,3
210000044,3
210000048,3
210000056,3
210000060,3
210000064,3
210000068,3
210000072,3
210000076,3
210000080,3
210000084,3
210000088,3
210000092,3
210000096,3
210000100,3
210000104,3
210000112,3
210000116,3
210000120,3
210000124,3
210000128,3
210000132,3
210000136,3
210000140,3
210000144,3
210000148,3
210000152,3
210000156,3
210000160,3
210000164,3
210000172,3
210000176,9
210000180,3
210000184,3
210000188,3
210000192,3
210000196,3
210000200,3
210000204,3
210000212,6
210000216,6
210000220,6
210000224,6
210000228,6
210000232,6
210000236,6
210000240,6
210000244,6
210000248,6
210000252,6
210000256,6
210000260,6
210000264,6
210000268,6
210000272,6
210000276,3
210000280,3
210000284,6
210000312,3
210000316,3
210000320,3
210000324,3
210000328,3
210000332,3
210000336,3
210000356,6
210000360,6
210000364,6
210000368,6
210000376,6
210000380,6
210000384,6
210000472,3
210000476,3
210000480,3
210000484,3
210000488,3
210000528,3
210000532,3
210000536,3
210000540,3
210000544,3
210000548,3
210000552,3
210000556,3
210000560,3
210000564,3
210000568,3
210000572,3
210000576,3
210000580,3
210000584,3
210000588,3
210000592,3
210000596,3
210000600,3
210000604,3
210000608,3
210000612,3
210000616,3
210000620,3
210000624,3
210000632,6
210000636,6
210000640,6
210000644,6
210000648,6
210000652,6
210000656,6
210000660,6
210000664,6
210000672,6
210000676,6
210000680,6
210000684,6
210000688,6
210000692,6
210000700,6
210000704,6
210000708,6
210000712,6
210000716,6
210000720,6
210000724,6
210000736,9
210000740,9
210000744,9
210000748,9
210000752,9
210178452,9
210000784,3
210000788,3
210000796,3
210000800,3
210000804,3
210000808,3
210000812,3
210000816,3
210000820,3
210000824,3
210000828,3
210000832,3
210000840,3
210000844,3
210000848,3
210000852,3
210000856,3
210000860,3
210000864,3
210000868,3
210000872,3
210000880,3
210000884,3
210000888,3
210000928,3
210000932,3
210000936,3
210000940,3
210000944,3
210000948,3
210000952,3
210000956,3
210000960,3
210000964,3
210000968,3
210000972,3
210000976,3
210000980,3
210000984,3
210000988,3
210000992,3
210000996,3
210001000,3
210001004,3
210001008,3
210001012,3
210001016,3
210001020,3
210001028,3
210001032,3
210001036,3
210001040,3
210001044,3
210001048,3
210001052,3
210001056,3
210001060,3
210001064,3
210001068,3
210001076,3
210001084,3
210001088,3
210001092,3
210001096,3
210001100,3
210001104,3
210001108,3
210001112,3
210001116,3
210001120,3
210001124,3
210001128,3
210001132,3
210001136,3
210001168,3
210001172,3
210001176,3
210001180,3
210001188,3
210001192,3
210001212,6
210001216,6
210001220,6
210001224,6
210001232,6
210001236,9
210001240,9
210001244,9
210178456,9
210001256,3
210001260,3
210001264,3
210001268,3
210001272,3
210001276,3
210001280,3
210001284,3
210001288,3
210001296,3
210001300,3
210001312,3
210001316,3
210001320,3
210001324,3
210001328,3
210001332,3
210001336,3
210001340,3
210001344,3
210001348,3
210001352,3
210001356,3
210001360,3
210001364,3
210001368,3
210001372,3
210001376,3
210001380,3
210001384,3
210001388,3
210001392,3
210001396,3
210001400,3
210001404,3
210001408,3
210001416,6
210182896,6
210182900,6
210182904,6
210182908,6
210182912,6
210182916,6
210001448,3
210001452,3
210001456,3
