START,0dsm5kkparomagslw749b2zb,1.3221898,103.64018,-10,093036.0,0
END,0dsm5kkparomagslw749b2zb,1.3224036,103.640335,210031094,093208.0,92.0
START,0gj8i9hypkg2x1h4lsqf2czg,1.2961794,103.881256,-10,135605.0,0
END,0gj8i9hypkg2x1h4lsqf2czg,1.2963629,103.88123,210178807,135743.0,98.0
START,0u66gk8osmashe8s2j7ir19t,1.3800184,103.76131,210173832,232703.0,0
END,0u66gk8osmashe8s2j7ir19t,1.3799967,103.761314,-10,232903.0,120.0
START,0uc4585abn445w2nguwsds57,1.426825,103.79034,210173948,002618.0,0
END,0uc4585abn445w2nguwsds57,1.42733,103.79077,210045434,002809.0,111.0
START,0w4sus5gl9b36s403arakpou,1.4268296,103.74839,210031667,121850.0,0
END,0w4sus5gl9b36s403arakpou,1.4268442,103.74844,-10,123242.0,832.0
START,1sahbaz8afj99hg2wkaiuw0b,1.3138036,103.93679,210145642,043815.0,0
END,1sahbaz8afj99hg2wkaiuw0b,1.3136644,103.93686,210145643,055942.0,4887.0
START,1x8kvyk4tgnqgkfqsadj5tyd,1.3305303,103.845116,-10,233716.0,0
END,1x8kvyk4tgnqgkfqsadj5tyd,1.3301437,103.84503,210066759,234128.0,252.0
START,265ejtvczsjytzvwgi4x5rqt,1.3232014,103.87751,210105486,085234.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3231801,103.877335,-10,090919.0,1005.0
START,265ejtvczsjytzvwgi4x5rqt,1.328886,103.87265,210024771,091503.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3288472,103.87275,-10,091643.0,100.0
START,265ejtvczsjytzvwgi4x5rqt,1.3366951,103.75076,210043383,105901.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3370982,103.75012,210043386,111040.0,699.0
START,265ejtvczsjytzvwgi4x5rqt,1.3325148,103.74767,210013768,111429.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3316019,103.74669,-10,111659.0,150.0
START,265ejtvczsjytzvwgi4x5rqt,1.3807416,104.000916,210109959,144004.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3805525,104.00099,-10,144213.0,129.0
START,265ejtvczsjytzvwgi4x5rqt,1.3821017,104.00107,-10,144437.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3817357,104.00142,210146580,145050.0,373.0
START,265ejtvczsjytzvwgi4x5rqt,1.3815458,104.001335,210017668,145210.0,0
END,265ejtvczsjytzvwgi4x5rqt,1.3817706,104.00152,-10,145504.0,174.0
START,29oqg86z2g2nvlpx90y841sh,1.3764137,103.74883,210174946,224539.0,0
END,29oqg86z2g2nvlpx90y841sh,1.3763831,103.74885,-10,224832.0,173.0
START,29p41e6cg5dwx68fgt3ykqsi,1.3546008,103.717606,210150772,172916.0,0
END,29p41e6cg5dwx68fgt3ykqsi,1.3544277,103.71731,-10,173127.0,131.0
START,2s429nvfbkmrgb7yyp2bcicb,1.2998308,103.8597,210009660,102926.0,0
END,2s429nvfbkmrgb7yyp2bcicb,1.2998006,103.85962,-10,103110.0,104.0
START,32tfs8smtpsqni9lteqgsuj9,1.3412342,103.77804,210148472,192612.0,0
END,32tfs8smtpsqni9lteqgsuj9,1.3412287,103.77803,-10,192742.0,90.0
START,33wjqmwg8wnlygtayqs81jdu,1.4344372,103.78826,210157400,195551.0,0
END,33wjqmwg8wnlygtayqs81jdu,1.434576,103.7883,-10,195745.0,114.0
START,33wjqmwg8wnlygtayqs81jdu,1.4119313,103.74775,210165486,202201.0,0
END,33wjqmwg8wnlygtayqs81jdu,1.4121121,103.74782,-10,202410.0,129.0
START,33wjqmwg8wnlygtayqs81jdu,1.3766348,103.90039,210163238,210235.0,0
END,33wjqmwg8wnlygtayqs81jdu,1.3766143,103.90049,210163239,210418.0,103.0
START,3gu5dyqyrkr988o9ayl0ths4,1.4353073,103.783615,210062860,211650.0,0
END,3gu5dyqyrkr988o9ayl0ths4,1.435311,103.783585,-10,211828.0,98.0
START,3wgrod1kdhsp8n9eytmpmxzk,1.365619,103.85369,-10,224501.0,0
END,3wgrod1kdhsp8n9eytmpmxzk,1.365339,103.85382,210025158,224755.0,174.0
START,45yl9tsfugznkuxxjw2e9x09,1.3869883,103.74475,210046463,191821.0,0
END,45yl9tsfugznkuxxjw2e9x09,1.3873566,103.7449,-10,192207.0,226.0
START,45z8ib4b77vt0sxx7f6ervg0,1.360495,103.9908,-10,202018.0,0
END,45z8ib4b77vt0sxx7f6ervg0,1.3603534,103.99105,210167832,202453.0,275.0
START,4g9hjqs0gqoy1dudipu1d6rf,-6.949065,107.630806,-10,082533.0,0
END,4g9hjqs0gqoy1dudipu1d6rf,-6.948993,107.63069,210110130,082704.0,91.0
START,4r7k1fgnzgtdsz8inzesjmsl,1.3336974,103.889694,210160352,161624.0,0
END,4r7k1fgnzgtdsz8inzesjmsl,1.3336605,103.8895,-10,161829.0,125.0
START,4r7k1fgnzgtdsz8inzesjmsl,1.3518898,103.85108,210176171,163905.0,0
END,4r7k1fgnzgtdsz8inzesjmsl,1.351858,103.85123,210176179,164038.0,93.0
START,4r7k1fgnzgtdsz8inzesjmsl,1.351689,103.835556,210115948,165027.0,0
END,4r7k1fgnzgtdsz8inzesjmsl,1.3543003,103.83191,210034927,165829.0,482.0
START,4s12qpks8eiki6s86h0gqir4,1.3978484,103.912895,210169404,124046.0,0
END,4s12qpks8eiki6s86h0gqir4,1.3977517,103.91294,-10,124219.0,93.0
START,4vb1va2dzdgfiqzf4v3gt1ts,1.310461,103.866066,-10,182440.0,0
END,4vb1va2dzdgfiqzf4v3gt1ts,1.3105929,103.86602,210115396,194338.0,4738.0
START,5037zdqsn4ns1z3l4ydkjfgr,1.4438108,103.82063,210028743,171013.0,0
END,5037zdqsn4ns1z3l4ydkjfgr,1.4446616,103.820335,210028663,171151.0,98.0
START,52efkkfglkshlzrmmtia39c9,1.4295566,103.79269,-10,215242.0,0
END,52efkkfglkshlzrmmtia39c9,1.42935,103.79264,210143478,215625.0,223.0
START,544ua7sxs17g5fdul5p3dusf,1.3338373,103.81433,210149524,150857.0,0
END,544ua7sxs17g5fdul5p3dusf,1.3337923,103.81565,-10,151042.0,105.0
START,544ua7sxs17g5fdul5p3dusf,1.2902212,103.80764,210166232,152429.0,0
END,544ua7sxs17g5fdul5p3dusf,1.289766,103.807785,-10,153220.0,471.0
START,544ua7sxs17g5fdul5p3dusf,1.2896963,103.80778,210166232,153222.0,0
END,544ua7sxs17g5fdul5p3dusf,1.2901328,103.807076,210166254,160224.0,1802.0
START,544ua7sxs17g5fdul5p3dusf,1.3012967,103.84902,-10,162039.0,0
END,544ua7sxs17g5fdul5p3dusf,1.3013759,103.84891,210114906,162733.0,414.0
START,544ua7sxs17g5fdul5p3dusf,1.3073899,103.833206,210161248,174126.0,0
END,544ua7sxs17g5fdul5p3dusf,1.3073977,103.833336,210161244,174559.0,273.0
START,6huxe0gj6ps0btgosfysgoik,1.4484836,103.77646,-10,134431.0,0
END,6huxe0gj6ps0btgosfysgoik,1.4486293,103.77644,210010955,134621.0,110.0
START,6isacfgltrhki8kg9za0two0,1.3512095,103.9651,-10,140348.0,0
END,6isacfgltrhki8kg9za0two0,1.3779364,103.903404,210179072,152656.0,4988.0
START,6uicsbqhliolbte5ehy3p2g2,1.2941071,103.82863,-10,091243.0,0
END,6uicsbqhliolbte5ehy3p2g2,1.2939041,103.82876,210154344,091413.0,90.0
START,6uicsbqhliolbte5ehy3p2g2,1.3888255,103.904,210099975,101800.0,0
END,6uicsbqhliolbte5ehy3p2g2,1.3027532,103.771164,-10,111542.0,3462.0
START,6uicsbqhliolbte5ehy3p2g2,1.3971174,103.74761,210014564,113158.0,0
END,6uicsbqhliolbte5ehy3p2g2,1.397172,103.74763,-10,113409.0,131.0
START,6uicsbqhliolbte5ehy3p2g2,1.4011151,103.74641,210014990,113714.0,0
END,6uicsbqhliolbte5ehy3p2g2,1.4009664,103.74772,210089094,114039.0,205.0
START,7ge21b5siqalmgeox681dpnw,1.4537764,103.83325,210116351,225235.0,0
END,7ge21b5siqalmgeox681dpnw,1.4540051,103.83293,-10,225411.0,96.0
START,7gi8r6ygxsx3o7w7zmckaq0e,1.2961975,103.88124,-10,135933.0,0
END,7gi8r6ygxsx3o7w7zmckaq0e,1.2963101,103.88116,210178806,140418.0,285.0
START,7jgoewrluj9e36167u1qgzsc,1.3527023,103.84137,210142358,105558.0,0
END,7jgoewrluj9e36167u1qgzsc,1.352578,103.84117,210142359,110031.0,273.0
START,7jgoewrluj9e36167u1qgzsc,1.3548344,103.841644,210049971,115258.0,0
END,7jgoewrluj9e36167u1qgzsc,1.3547186,103.84167,-10,120008.0,430.0
START,7jgoewrluj9e36167u1qgzsc,1.3605518,103.84169,210158952,120216.0,0
END,7jgoewrluj9e36167u1qgzsc,1.3606882,103.841675,-10,120348.0,92.0
START,7jgoewrluj9e36167u1qgzsc,1.3154212,103.85204,210034624,134823.0,0
END,7jgoewrluj9e36167u1qgzsc,1.3154609,103.85244,-10,135055.0,152.0
START,7jgoewrluj9e36167u1qgzsc,1.3111867,103.80518,210109626,144822.0,0
END,7jgoewrluj9e36167u1qgzsc,1.3113787,103.80523,-10,145106.0,164.0
START,7jgoewrluj9e36167u1qgzsc,1.3115957,103.8054,210109627,145154.0,0
END,7jgoewrluj9e36167u1qgzsc,1.3122257,103.80593,210109626,152506.0,1992.0
START,7mrx0dia9qo8vqzq25hgas8m,1.3266678,103.84522,210154084,213655.0,0
END,7mrx0dia9qo8vqzq25hgas8m,1.3265624,103.84552,-10,213902.0,127.0
START,7tixzrhditesj3c4e5gnu9kb,1.4274125,103.83673,210021152,193956.0,0
END,7tixzrhditesj3c4e5gnu9kb,1.4273826,103.83669,210115422,194449.0,293.0
START,81t5sp2gs61imfcocg8vysx8,1.3849066,103.765045,-10,215606.0,0
