11:4:54.207001,N,79:41:57.846680,E,-89.374168, 212020.0,141217,0.000000,0,-10
11:4:54.207001,N,79:41:57.846680,E,-89.355591, 212021.0,141217,0.000000,0,-10
11:4:54.207001,N,79:41:57.846680,E,-89.337090, 212022.0,141217,0.000000,0,-10
11:4:54.203568,N,79:41:57.846680,E,-89.319084, 212023.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.846680,E,-89.301270, 212024.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.846680,E,-89.283615, 212025.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.846680,E,-89.265717, 212026.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.846680,E,-89.248833, 212027.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.846680,E,-89.231804, 212028.0,141217,0.000000,0,-10
11:4:54.203568,N,79:41:57.846680,E,-89.056831, 212029.0,141217,0.000000,0,-10
11:4:54.207001,N,79:41:57.874146,E,-89.039803, 212030.0,141217,0.000000,0,-10
11:4:54.213867,N,79:41:57.874146,E,-89.022736, 212031.0,141217,0.000000,0,-10
11:4:54.217300,N,79:41:57.874146,E,-89.005745, 212032.0,141217,0.000000,0,-10
11:4:54.217300,N,79:41:57.874146,E,-88.988747, 212033.0,141217,0.000000,0,-10
11:4:54.224167,N,79:41:57.874146,E,-88.971947, 212034.0,141217,0.000000,0,-10
11:4:54.224167,N,79:41:57.874146,E,-88.955841, 212035.0,141217,0.000000,0,-10
11:4:54.231033,N,79:41:57.874146,E,-88.940651, 212036.0,141217,0.000000,0,-10
11:4:54.234467,N,79:41:57.874146,E,-88.925209, 212037.0,141217,0.000000,0,-10
11:4:54.237900,N,79:41:57.874146,E,-88.909309, 212038.0,141217,0.000000,0,-10
11:4:54.241333,N,79:41:57.874146,E,-88.893539, 212039.0,141217,0.000000,0,-10
11:4:54.241333,N,79:41:57.874146,E,-88.877617, 212040.0,141217,0.000000,0,-10
11:4:54.244766,N,79:41:57.874146,E,-88.861610, 212041.0,141217,0.000000,0,-10
11:4:54.244766,N,79:41:57.874146,E,-88.846054, 212042.0,141217,0.000000,0,-10
11:4:54.241333,N,79:41:57.874146,E,-88.697182, 212043.0,141217,0.000000,0,-10
11:4:54.231033,N,79:41:57.874146,E,-88.684303, 212044.0,141217,0.000000,0,-10
11:4:54.227600,N,79:41:57.874146,E,-88.671326, 212045.0,141217,0.000000,0,-10
11:4:54.224167,N,79:41:57.874146,E,-88.658875, 212046.0,141217,0.000000,0,-10
11:4:54.217300,N,79:41:57.901611,E,-88.647774, 212047.0,141217,0.000000,0,-10
11:4:54.207001,N,79:41:57.901611,E,-88.636726, 212048.0,141217,0.000000,0,-10
11:4:54.203568,N,79:41:57.901611,E,-88.625298, 212049.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.901611,E,-88.613167, 212050.0,141217,0.000000,0,-10
11:4:54.200134,N,79:41:57.901611,E,-88.600143, 212051.0,141217,0.000000,0,-10
